Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_RAMOS
74,DSPC,1.0,0.0,0.1914576707862002,0.13287932895938875,1.103956478
75,DSPC,0.5327830555988163,0.0,0.1914576707862002,0.13287932895938875,1.211570093
76,DSPC,0.06556611119763278,0.0,0.1914576707862002,0.13287932895938875,1.107514607
77,DSPC,1.0,0.0,0.1914576707862002,0.022146554826564795,2.085203355
78,DSPC,0.5327830555988163,0.0,0.1914576707862002,0.022146554826564795,1.882721696
79,DSPC,0.06556611119763278,0.0,0.1914576707862002,0.022146554826564795,1.798161301
80,DSPC,1.0,0.0,0.1914576707862002,0.0,0.0
81,DSPC,0.5327830555988163,0.0,0.1914576707862002,0.0,0.0
82,DSPC,0.06556611119763278,0.0,0.1914576707862002,0.0,0.0
83,DSPC,1.0,0.8859226884800521,0.010305543255102452,0.13287932895938875,0.0
84,DSPC,0.5327830555988163,0.8859226884800521,0.010305543255102452,0.13287932895938875,0.0
85,DSPC,0.06556611119763278,0.8859226884800521,0.010305543255102452,0.13287932895938875,0.012503131
86,DSPC,1.0,0.8859226884800521,0.010305543255102452,0.022146554826564795,0.0
87,DSPC,0.5327830555988163,0.8859226884800521,0.010305543255102452,0.022146554826564795,0.0
88,DSPC,0.06556611119763278,0.8859226884800521,0.010305543255102452,0.022146554826564795,0.0
89,DSPC,1.0,0.8859226884800521,0.010305543255102452,0.0,0.430060285
90,DSPC,0.5327830555988163,0.8859226884800521,0.010305543255102452,0.0,0.0
91,DSPC,0.06556611119763278,0.8859226884800521,0.010305543255102452,0.0,0.0
92,DSPC,1.0,0.442961344240026,0.010305543255102452,0.13287932895938875,2.518833323
93,DSPC,0.5327830555988163,0.442961344240026,0.010305543255102452,0.13287932895938875,3.029327368
94,DSPC,0.06556611119763278,0.442961344240026,0.010305543255102452,0.13287932895938875,1.30685754
95,DSPC,1.0,0.442961344240026,0.010305543255102452,0.022146554826564795,0.994969233
96,DSPC,0.5327830555988163,0.442961344240026,0.010305543255102452,0.022146554826564795,1.223946304
97,DSPC,0.06556611119763278,0.442961344240026,0.010305543255102452,0.022146554826564795,1.050006828
98,DSPC,1.0,0.442961344240026,0.010305543255102452,0.0,0.179276436
99,DSPC,0.5327830555988163,0.442961344240026,0.010305543255102452,0.0,0.49632508
100,DSPC,0.06556611119763278,0.442961344240026,0.010305543255102452,0.0,0.858994903
101,DSPC,1.0,0.0,0.010305543255102452,0.13287932895938875,1.23514595
102,DSPC,0.5327830555988163,0.0,0.010305543255102452,0.13287932895938875,1.366427843
103,DSPC,0.06556611119763278,0.0,0.010305543255102452,0.13287932895938875,0.67516374
104,DSPC,1.0,0.0,0.010305543255102452,0.022146554826564795,0.824906862
105,DSPC,0.5327830555988163,0.0,0.010305543255102452,0.022146554826564795,0.993788485
106,DSPC,0.06556611119763278,0.0,0.010305543255102452,0.022146554826564795,0.957443871
107,DSPC,1.0,0.0,0.010305543255102452,0.0,0.165420707
108,DSPC,0.5327830555988163,0.0,0.010305543255102452,0.0,0.036272794
109,DSPC,0.06556611119763278,0.0,0.010305543255102452,0.0,0.0
110,DSPC,0.4689964270362873,0.7908835417712549,0.501308207399058,0.10409608017052847,2.688625767
111,DSPC,0.5107871315994393,0.6084495071316777,0.570990603639145,0.1302128069374083,4.134479132
112,DSPC,0.46926236084722006,0.6651966656823082,0.4586138160702065,0.09871570683498049,3.500561358
