Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_HEPG2
123,DSPC,0.03172465516722213,0.42003560978705723,0.016381021695172575,0.20993536334191515,4.997581342
124,DSPC,0.025325285093308655,0.6521775097378194,0.017923594588580043,0.02442050444315256,6.136164722
125,DSPC,0.03699949525256731,5.075135147103449e-05,0.6011755128210802,0.11362827381446725,6.015845462
126,DSPC,0.08099180039489347,0.002379487895733612,0.19625525614451458,0.28025162500346046,4.821381452
127,DSPC,0.14499997459325004,0.0778034603717937,0.9868389325659782,0.22513748736262212,3.055630772
128,DSPC,0.28687536147487125,3.254657214424306e-05,0.16516607131628563,0.022400850870636438,7.909186192
129,DSPC,0.2530156519022531,0.43898420146624373,0.006676414134454393,0.426676596628187,3.507452702
130,DSPC,0.023044644068908493,0.0045623288296460784,0.012918175333032359,0.21379110428259004,3.993633992
131,DSPC,0.04362402263324698,0.6562577854186236,0.005798715437163354,0.4187483060653877,2.240213118
132,DSPC,0.021783695802966213,0.43182384042179955,0.006462107948930371,0.01014490864546134,7.556392332
133,DSPC,0.05757563248020424,7.648701535800662e-06,0.5297070068697987,0.42506130609307097,2.312051485
134,DSPC,0.19612115685939235,1.0912907507598657e-05,0.014686692012591467,0.2652172406500014,2.656780639
135,DSPC,0.021926434500054326,0.02946049765312414,0.005809235078134553,0.38318581097915455,2.799190743
136,DSPC,0.15200932914350485,0.3411822650144223,0.005895786437449295,0.14510258956897268,4.670070022
137,DSPC,0.14580098696485855,4.5246419388966785e-08,0.18224968195446803,0.007684583866234808,9.594705872
138,DSPC,0.22557431218954027,0.3317833287023011,0.010766711532080489,0.1518468471887717,4.571149289
139,DSPC,0.03651813138596645,7.932813739230937e-09,0.17816602936416412,0.007782894527032638,8.536191468
140,DSPC,0.24138193631159593,1.3221356232051562e-09,0.009799858167616745,0.01512474644963043,7.46574139
141,DSPC,0.22588261839545487,5.862937008660474e-07,0.009487771964415373,0.15498904218918697,3.927671427
142,DSPC,0.22581922653787462,0.026478557208632292,0.36787059533283284,0.1675125543282673,5.28252082
143,DSPC,0.23510949368245704,0.0013027443095257052,0.309130703329589,0.01027356531849514,9.231240225
144,DSPC,0.22603995607992938,0.015666132009070854,0.42281067810534917,0.19080203748304406,5.214902777
145,DSPC,0.2278759634400901,0.000278383002542959,0.20710741503271166,0.016880602386291285,9.02468507
146,DSPC,0.15142258980009055,4.407118773752661e-06,0.2055732192271883,0.0167177144755419,9.091633581
147,DSPC,0.0726140278597784,1.1752316730895274e-08,0.1708349645000314,0.00878587235279462,8.158844287
148,DSPC,0.07305697147776412,2.7030328475508014e-08,0.005772280890577043,0.6052267264623648,3.361844287
149,DSPC,0.0275487987581073,0.8042724984536114,0.005771994478800754,0.27072953215402934,2.985844287
150,DSPC,0.025441687959942838,0.07584810198143477,0.00577209008843134,0.30706836170860674,2.654844287
151,DSPC,0.06775084479460054,0.29846289220954647,0.005774308838369415,0.453068180660521,2.411844287
152,DSPC,0.6682862695470663,6.537373085035991e-06,0.2740283682339475,0.020156284832378267,7.759844287
153,DSPC,0.772772531888832,2.6919562893912286e-05,0.24943194503552432,0.011693888935027546,7.725844287
154,DSPC,0.4543732985543156,0.000177841492205566,0.17907196990174828,0.021355896935470478,7.093844287
155,DSPC,0.38494927280235647,0.0002206513625501727,0.24408335493670194,0.02194817534534784,7.781844287
156,DSPC,0.1947157775110741,0.0018707208495404304,0.264619272747993,0.007918939318439774,7.821844287
157,DSPC,0.033845850661005664,0.32765312139411784,0.01603929621338093,0.28782797663538473,3.604344287
158,DSPC,1.0,0.32947443667935694,0.017231355870018786,0.20432109736179166,4.396344287
159,DSPC,0.04866153477202752,2.938079182168707e-07,0.01775216399569715,0.8115004290894997,2.811344287
160,DSPC,0.428590363609576,0.021396855454559993,0.017440048887520803,0.2100347424078842,3.460344287
161,DSPC,0.022969637723942365,0.0,0.17751126843708706,0.016826343326966198,8.431344287
162,DSPC,0.030944828529978888,0.00036564615782297416,0.2005097830196669,0.008086473216510256,8.742344287
163,DSPC,0.036346975682648455,0.0012865402152182903,0.261087613076248,0.016281529634858675,8.987344287
164,DSPC,0.14502663216188055,2.6942186104328414e-07,0.23948570402539512,0.012658234891897128,9.117344287
165,DSPC,0.14551778547777056,2.174178598268739e-08,0.17787171009310088,0.01733854198156299,8.699344287
166,DSPC,0.030864496258083116,0.24939885140750895,0.28029032487859135,0.24051158541649365,10.74208351
167,DSPC,0.028149065838164664,0.1449942076569543,0.27823856768404914,0.4070536777122609,8.816534778
168,DSPC,0.030299901814337712,0.1895207976679198,0.2636846196722138,0.22600559200509374,11.0956136
169,DSPC,0.04151113434013966,0.24422783204628828,0.2644737570547301,0.30639758602552397,9.171750289
170,DSPC,0.006344966129710472,0.17117249317313393,0.2669313563317092,0.3114912936356338,8.805622479
171,DSPC,0.015620446276956704,0.0038341933331778044,0.27509329154516293,0.2009523018575423,4.45687774
172,DSPC,0.010189585437119786,0.10928185519352412,0.2769421276984867,0.24568834260720315,9.421544568
173,DSPC,0.03478977191459891,0.059128843548048704,0.2587806945094343,0.16288791074938405,7.798541595
