SORT_LNP,Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target
B147,,N/A,SM-102,DOPE,18PG,4,47.36842105,0,1,5,10.16756093
B148,,N/A,SM-102,DOPE,18PG,7,11.11111111,0,1,10,10.15937332
B149,,N/A,SM-102,DOPE,18PG,4,33.33333333,0,0.2,25,10.08250196
B150,,N/A,SM-102,DOPE,18PG,7,47.36842105,0,0.2,5,10.07480494
B151,,N/A,SM-102,DOPE,18PG,10,14.89361702,0,1,6,10.06486003
B152,,N/A,SM-102,DOPE,18PG,4,66.66666667,0,1,40,10.04662244
B153,,N/A,SM-102,DOPE,18PG,7,14.89361702,0,1,6,10.0011244
B154,,N/A,SM-102,DOPE,18PG,10,47.36842105,0,0.2,5,9.993213429
B155,,N/A,SM-102,DOPE,18PG,4,49.74874372,0,5,0.5,9.986572808
B156,,N/A,SM-102,DOPE,18PG,7,73.68421053,0,1,24,9.934920987
B157,,N/A,SM-102,DOPE,18PG,7,41.17647059,0,1,15,9.892564712
B158,,N/A,SM-102,DOPE,18PG,7,33.33333333,0,0.2,25,9.891751108
B159,,N/A,SM-102,DOPE,18PG,10,33.33333333,0,0.2,25,9.888653364
B160,,N/A,SM-102,DOPE,18PG,10,19.83967936,0,1,0.2,9.882593236
B161,,N/A,SM-102,DOPE,18PG,4,41.17647059,0,5,15,9.868030675
B162,,N/A,SM-102,DOPE,18PG,10,11.11111111,0,0.2,10,9.851949403
B163,,N/A,SM-102,DOPE,18PG,10,73.68421053,0,1,24,9.848674689
B164,,N/A,SM-102,DOPE,18PG,10,41.17647059,0,0.2,15,9.842195553
B165,,N/A,SM-102,DOPE,18PG,4,33.33333333,0,1,25,9.840654852
B166,,N/A,SM-102,DOPE,18PG,7,14.89361702,0,0.2,6,9.837909954
B167,,N/A,SM-102,DOPE,18PG,4,47.36842105,0,0.2,5,9.814093096
B168,,N/A,SM-102,DOPE,18PG,10,18.36734694,0,0.2,2,9.810921288
B169,,N/A,SM-102,DOPE,18PG,10,49.74874372,0,5,0.5,9.760983271
B170,,N/A,SM-102,DOPE,18PG,7,19.83967936,0,1,0.2,9.745653003
B171,,N/A,SM-102,DOPE,18PG,7,49.74874372,0,5,0.5,9.741310506
B172,,N/A,SM-102,DOPE,18PG,4,49.74874372,0,1,0.5,9.739037347
B173,,N/A,SM-102,DOPE,18PG,4,33.33333333,0,5,25,9.727785202
B174,,N/A,SM-102,DOPE,18PG,10,66.66666667,0,1,40,9.712907138
B175,,N/A,SM-102,DOPE,18PG,7,78.26086957,0,1,8,9.700370245
B176,,N/A,SM-102,DOPE,18PG,10,47.36842105,0,1,5,9.696617895
B177,,N/A,SM-102,DOPE,18PG,10,14.89361702,0,0.2,6,9.65273258
B178,,N/A,SM-102,DOPE,18PG,7,66.66666667,0,0.2,40,9.636097146
B179,,N/A,SM-102,DOPE,18PG,4,18.36734694,0,0.2,2,9.635971013
B180,,N/A,SM-102,DOPE,18PG,10,78.26086957,0,1,8,9.587910096
B181,,N/A,SM-102,DOPE,18PG,4,73.68421053,0,0.2,24,9.538326614
B182,,N/A,SM-102,DOPE,18PG,7,18.36734694,0,0.2,2,9.52734889
B183,,N/A,SM-102,DOPE,18PG,4,47.36842105,0,5,5,9.473672187
B184,,N/A,SM-102,DOPE,18PG,7,66.66666667,0,1,40,9.472088342
B185,,N/A,SM-102,DOPE,18PG,4,18.36734694,0,5,2,9.47003055
B186,,N/A,SM-102,DOPE,18PG,10,78.26086957,0,0.2,8,9.468092854
B187,,N/A,SM-102,DOPE,18PG,10,41.17647059,0,1,15,9.437670817
B188,,N/A,SM-102,DOPE,18PG,4,73.68421053,0,1,24,9.430415646
B189,,N/A,SM-102,DOPE,18PG,4,14.89361702,0,0.2,6,9.388089517
B190,,N/A,SM-102,DOPE,18PG,7,41.17647059,0,5,15,9.353475261
B191,,N/A,SM-102,DOPE,18PG,7,78.26086957,0,0.2,8,9.333761866
B192,,N/A,SM-102,DOPE,18PG,4,78.26086957,0,0.2,8,9.322809042
B193,,N/A,SM-102,DOPE,18PG,4,11.11111111,0,0.2,10,9.279560329
B194,,N/A,SM-102,DOPE,18PG,7,33.33333333,0,1,25,9.208678356
B195,,N/A,SM-102,DOPE,18PG,10,19.83967936,0,0.2,0.2,9.180932838
B196,,N/A,SM-102,DOPE,18PG,7,47.36842105,0,5,5,9.132455777
B197,,N/A,SM-102,DOPE,18PG,10,41.17647059,0,5,15,9.107663156
B198,,N/A,SM-102,DOPE,18PG,10,66.66666667,0,5,40,9.089419662
B199,,N/A,SM-102,DOPE,18PG,7,66.66666667,0,5,40,9.05419994
B200,,N/A,SM-102,DOPE,18PG,4,14.89361702,0,5,6,9.043573812
B201,,N/A,SM-102,DOPE,18PG,7,33.33333333,0,5,25,8.937258191
B202,,N/A,SM-102,DOPE,18PG,10,47.36842105,0,5,5,8.93187397
B203,,N/A,SM-102,DOPE,18PG,10,33.33333333,0,1,25,8.905775421
B204,,N/A,SM-102,DOPE,18PG,7,18.36734694,0,5,2,8.856358916
B205,,N/A,SM-102,DOPE,18PG,4,66.66666667,0,5,40,8.844692539
B206,,N/A,SM-102,DOPE,18PG,4,78.26086957,0,1,8,8.835606862
B207,,N/A,SM-102,DOPE,18PG,10,11.11111111,0,1,10,8.796275682
B208,,N/A,SM-102,DOPE,18PG,4,19.83967936,0,1,0.2,8.78899546
B209,,N/A,SM-102,DOPE,18PG,10,33.33333333,0,5,25,8.61041347
B210,,N/A,SM-102,DOPE,18PG,7,19.83967936,0,0.2,0.2,8.4306097
B211,,N/A,SM-102,DOPE,18PG,10,73.68421053,0,5,24,8.407682195
B212,,N/A,SM-102,DOPE,18PG,4,11.11111111,0,1,10,8.389933894
B213,,N/A,SM-102,DOPE,18PG,7,73.68421053,0,5,24,8.389568383
B214,,N/A,SM-102,DOPE,18PG,4,19.83967936,0,5,0.2,8.353918096
