Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,18PG_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_RAMOS,nLnLE_HEPG2,nLnLE_Selectivity
87,F1087,0,N/A,N/A,SM-102,18PG,4,80,0.8,1,79.4,0.6,19.8,0.2,0.544208654,2.662755766,-2.118547112
88,F1088,0,N/A,N/A,SM-102,18PG,10,80,0.8,0.2,79.4,0.6,20,0,0.203493393,3.422387094,-3.218893701
89,F1089,0,N/A,N/A,SM-102,18PG,7,80,0.8,0.2,79.4,0.6,20,0,-0.105239266,3.966142783,-4.071382049
90,F1090,0,N/A,N/A,SM-102,18PG,4,80,0.8,0.2,79.4,0.6,20,0,0.039915074,2.890272231,-2.850357157
91,F1091,0,N/A,N/A,SM-102,18PG,10,49.9,0.8,5,49.6,0.4,47.6,2.5,3.37477245,8.186264606,-4.811492156
92,F1092,0,N/A,N/A,SM-102,18PG,7,49.9,0.8,5,49.6,0.4,47.6,2.5,3.355099685,7.265645554,-3.910545869
93,F1093,0,N/A,N/A,SM-102,18PG,4,49.9,0.8,5,49.6,0.4,47.6,2.5,3.600361987,6.998346986,-3.397984999
94,F1094,0,N/A,N/A,SM-102,18PG,10,49.9,0.8,1,49.6,0.4,49.6,0.5,3.846745382,9.571012036,-5.724266654
95,F1095,0,N/A,N/A,SM-102,18PG,7,49.9,0.8,1,49.6,0.4,49.6,0.5,4.134572103,8.832502014,-4.697929911
96,F1096,0,N/A,N/A,SM-102,18PG,4,49.9,0.8,1,49.6,0.4,49.6,0.5,3.352826526,7.3496808,-3.996854275
97,F1097,0,N/A,N/A,SM-102,18PG,10,49.9,0.8,0.2,49.6,0.4,50,0.1,1.961855972,8.65576802,-6.693912047
98,F1098,0,N/A,N/A,SM-102,18PG,7,49.9,0.8,0.2,49.6,0.4,50,0.1,1.111158289,8.446290049,-7.33513176
99,F1099,0,N/A,N/A,SM-102,18PG,4,49.9,0.8,0.2,49.6,0.4,50,0.1,-1.028934641,7.604677994,-8.633612635
100,F1100,0,N/A,N/A,SM-102,18PG,10,20,0.8,5,19.8,0.2,76,4,0.402220265,5.712317862,-5.310097597
101,F1101,0,N/A,N/A,SM-102,18PG,7,20,0.8,5,19.8,0.2,76,4,0.997879565,6.494515853,-5.496636288
102,F1102,0,N/A,N/A,SM-102,18PG,4,20,0.8,5,19.8,0.2,76,4,1.967707275,6.882539449,-4.914832174
103,F1103,0,N/A,N/A,SM-102,18PG,10,20,0.8,1,19.8,0.2,79.2,0.8,3.496382415,2.539216136,0.957166279
104,F1104,0,N/A,N/A,SM-102,18PG,7,20,0.8,1,19.8,0.2,79.2,0.8,3.359442182,8.372850562,-5.01340838
105,F1105,0,N/A,N/A,SM-102,18PG,4,20,0.8,1,19.8,0.2,79.2,0.8,2.402784639,8.477758282,-6.074973642
106,F1106,0,N/A,N/A,SM-102,18PG,10,20,0.8,0.2,19.8,0.2,79.9,0.2,2.794722017,7.802920713,-5.008198696
107,F1107,0,N/A,N/A,SM-102,18PG,7,20,0.8,0.2,19.8,0.2,79.9,0.2,2.044398879,7.919160997,-5.874762118
108,F1108,0,N/A,N/A,SM-102,18PG,4,20,0.8,0.2,19.8,0.2,79.9,0.2,-1.293971972,8.077240156,-9.371212129
109,F1109,1,DA,RAMOS,SM-102,18PG,7.68567276,56.9,19.3,4.6,45.9,11,41.1,2,2.483377939,3.237174629,-0.75379669
110,F1110,1,DA,RAMOS,SM-102,18PG,7.920520902,60.3,22.1,4.7,47,13.3,37.9,1.8,2.619355046,3.360629584,-0.741274538
111,F1111,1,DA,RAMOS,SM-102,18PG,10.14386976,66.8,14.5,2.7,57.1,9.7,32.3,0.9,1.926602685,3.051545783,-1.124943097
112,F1112,1,DA,RAMOS,SM-102,18PG,16.84463271,52.2,10.5,1.8,46.7,5.5,47,0.8,2.307086978,7.807525888,-5.500438911
113,F1113,1,DA,RAMOS,SM-102,18PG,11.11501744,49.7,16.6,2.2,41.5,8.2,49.2,1.1,2.465207657,7.72596821,-5.260760553
114,F1114,1,DA,RAMOS,SM-102,18PG,10.01481169,55.7,20,2.7,44.6,11.2,43.1,1.2,1.971224344,5.549633863,-3.578409519
115,F1115,1,DA,RAMOS,SM-102,18PG,18.85326667,49,17.2,3.8,40.6,8.5,49,1.9,2.333868826,7.587815737,-5.253946911
116,F1116,1,DA,RAMOS,SM-102,18PG,8.926423311,69.1,36.5,1.5,43.9,25.2,30.4,0.5,-0.981177852,2.396868379,-3.378046231
117,F1117,1,DA,RAMOS,SM-102,18PG,5.037035892,30.4,8.5,1.1,27.8,2.6,68.9,0.7,4.727844768,7.89798831,-3.170143542
