Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_THP1,nLnLE_HEPG2,nLnLE_Selectivity
122,F2122,5,NSGAII,THP1,SM-102,DSPC,12.22973916,89.85887841,0.507920058,6.310244987,89.40246714,0.456411267,9.501191973,0.639929617,2.904882807,1.616781224,1.288101583
123,F2123,5,NSGAII,THP1,SM-102,DSPC,16.05159083,70.82202017,1.393331501,6.441890381,69.83523465,0.986785517,27.29836635,1.879613476,5.067275994,5.714605674,-0.64732968
124,F2124,5,NSGAII,THP1,SM-102,DSPC,13.88363869,86.53268976,3.086916604,4.241718356,83.86149779,2.671191968,12.89606487,0.571245371,5.292594432,3.143232774,2.149361657
125,F2125,5,NSGAII,THP1,SM-102,DSPC,7.27677196,89.78064083,1.082384286,6.298055766,88.80886928,0.971771548,9.575738231,0.643620939,2.934684685,2.05393321,0.880751475
126,F2126,5,NSGAII,THP1,SM-102,DSPC,16.02071863,89.22576256,1.57347729,6.703688486,87.82181545,1.403947111,10.05196613,0.722271315,4.777237305,3.06887804,1.708359265
127,F2127,5,i-optimal,N/A,SM-102,DSPC,7.336789303,34.4961909,42.00874739,15.054911,20.00477321,14.49141769,55.64226894,9.861540162,3.918548324,4.532600304,-0.614051981
128,F2128,5,i-optimal,N/A,SM-102,DSPC,17.0936873,76.00510483,1.828844974,17.14054869,74.61508929,1.39001554,19.88203848,4.11285669,3.500094666,3.406859263,0.093235403
129,F2129,5,i-optimal,N/A,SM-102,DSPC,6.331053219,83.25158696,1.669335082,9.794028938,81.86183901,1.389747947,15.10806862,1.64034442,2.175436168,1.587117275,0.588318893
130,F2130,5,i-optimal,N/A,SM-102,DSPC,5.003004365,70.91452818,10.54081614,5.649355509,63.43955815,7.474970032,27.44233012,1.643141705,3.695892821,4.140257139,-0.444364318
131,F2131,5,i-optimal,N/A,SM-102,DSPC,7.882279853,70.04148436,26.67041893,17.31066522,51.36112706,18.6803573,24.77249729,5.186018347,2.928153162,3.092092029,-0.163938868
132,F2132,5,i-optimal_minCT,N/A,SM-102,DSPC,9.261734937,41.18546799,36.05119114,5.414417083,26.3376162,14.84785179,55.63006794,3.184464068,5.298987274,7.111748639,-1.812761365
133,F2133,5,i-optimal_minCT,N/A,SM-102,DSPC,9.137723601,48.30760206,40.34056372,4.228596732,28.82004307,19.48755899,49.50653489,2.18586305,5.254999174,5.972506433,-0.71750726
134,F2134,5,i-optimal_minCT,N/A,SM-102,DSPC,6.917866103,63.66269473,35.12656676,17.87076728,41.30017576,22.36251897,29.84355001,6.493755261,3.231783512,3.300754296,-0.068970785
135,F2135,5,i-optimal_minCT,N/A,SM-102,DSPC,21.49436907,78.56146666,12.80980098,17.76284147,68.49789913,10.06356753,17.63044065,3.808092691,4.217370732,3.807423702,0.40994703
136,F2136,5,i-optimal_minCT,N/A,SM-102,DSPC,19.56599655,74.92921328,23.93951793,17.35053313,56.99152083,17.93769245,20.72087156,4.349915156,3.633765791,3.335111206,0.298654585
