Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,nLnLE_RAMOS
154,DSPC,0.8933359234442084,0.4250682109595541,0.22848248959703799,0.03353827259046882,5.55571912
176,DSPC,0.7264072042911658,0.4156059835718298,0.27284834598301877,0.036411024767291994,5.517407441
169,DSPC,0.001201795282239848,0.43062457961066797,0.1942831495200086,0.03535418155055029,5.494463518
165,DSPC,0.8749807456179326,0.4243672588718846,0.2502499016842683,0.06286713644852536,5.4469521
162,DSPC,0.8797645090897568,0.429275856200324,0.27223933680640566,0.03340301663337913,5.416068589
159,DSPC,0.8907936284622846,0.41510815174509624,0.2431095909512885,0.0634340792762086,5.39945925
156,DSPC,0.8916877679764283,0.4130289312026238,0.23842084411848527,0.03526246547628449,5.357687747
163,DSPC,0.8940898303486959,0.4313481322797446,0.2613637447610319,0.06534723353703716,5.322846067
161,DSPC,0.8816030397207113,0.42400721566687843,0.20603951815040034,0.08680569905403496,5.203627328
155,DSPC,0.8887721037496346,0.4185908138138437,0.24090406296006678,0.0849092751594619,5.190339538
164,DSPC,0.8840279063173151,0.4132825711360411,0.18671288940956468,0.05909422040155543,5.169265115
160,DSPC,0.8852137685996997,0.4109234970677716,0.1865423990574283,0.06175941236756512,5.136607236
166,DSPC,0.868905371853917,0.4302330999942599,0.2793120607568571,0.0656843397943445,5.111317104
171,DSPC,0.0002502905259433863,0.41192407572879036,0.5579276113856507,0.03519014779409629,5.085717672
158,DSPC,0.9023127674975104,0.4167794275796311,0.24032847585774553,0.08231522067116029,5.071486512
157,DSPC,0.9010517427758267,0.4161463171401007,0.1961863979560354,0.07315850953766466,5.007900313
173,DSPC,0.002546551659049906,0.4215903360483059,0.2782667999851748,0.17830902083196812,4.978788478
174,DSPC,0.11946729998780217,0.42709946358007406,0.5568796593352582,0.1576353312412622,4.846507824
177,DSPC,0.1271659745787916,0.5630621812667762,0.5942771294928707,0.19428749038114215,4.759850563
170,DSPC,0.12468535800444122,0.4310439608601861,0.713360156177891,0.1993447234056501,4.496540882
175,DSPC,8.809713071375458e-05,0.4091875178182069,0.6288386515918118,0.22725061861552115,4.285186324
168,DSPC,0.00023230376711552703,0.13568861610062594,0.5645402973395647,0.19003711586749666,4.235919337
172,DSPC,0.0001381339775855528,0.547438654698839,0.5594094360780139,0.24119690298266266,4.029959354
167,DSPC,5.847704209699378e-05,0.7551282222894815,0.5859525241662169,0.22335793285674713,3.129846822
131,DSPC,0.7598332999836526,0.6049785576645896,0.04966048896194026,0.008415890022075672,1.796995656
138,DSPC,0.7424884186523946,0.5856481796296678,0.04449089828135818,0.008531347321323485,1.593333831
140,DSPC,0.7540192368096955,0.5960392390906377,0.04411475673374555,0.009376585771299526,1.482399662
141,DSPC,0.7469187199895124,0.5752662120925858,0.04690513623529835,0.008823425574387539,1.46474936
136,DSPC,0.75582694831277,0.5649607131943839,0.04641682890072847,0.009630602842485911,1.453448843
139,DSPC,0.7396486467839162,0.5935274132190675,0.04830158514649455,0.008996844139521764,1.430821795
135,DSPC,0.7656943424501812,0.5903088296335857,0.043112491410963794,0.008207011833738077,1.401000675
130,DSPC,0.7516434953923655,0.5951552630900758,0.03907047007672963,0.008923708333766432,1.394944907
133,DSPC,0.7681162425756822,0.6085747977030822,0.04379835192415917,0.008467166538368218,1.312383354
134,DSPC,0.7583831919760691,0.5713435611573305,0.040828037016414076,0.008778092541450103,1.306377185
137,DSPC,0.7493349804774156,0.5802847145239209,0.0393532620889393,0.009405177372626741,1.155715477
151,DSPC,0.7597580840643111,0.3514470627499096,0.03431790920665783,8.469898893286639e-05,0.938852955
148,DSPC,0.7279509550173924,0.40848585166043033,0.019626694184926765,0.0001852946540380901,0.831863605
146,DSPC,0.7635306067841183,0.5645132826410073,0.03210046775630723,8.978106255348207e-05,0.724822285
132,DSPC,0.7674652066218444,0.5702306268465733,0.00623168761785767,0.005931407227098534,0.674661968
150,DSPC,0.8412377088103291,0.7337038201461845,0.005893167870411809,0.00022913581458841158,0.600609354
143,DSPC,0.7687773148115424,0.24981659073208612,0.02172649231011513,0.00014416034182567535,0.479521103
144,DSPC,0.7481535683194979,0.7461234935811143,0.006020938129253815,0.0001452591878161845,0.386110263
145,DSPC,0.3961741494052108,0.5750843818843903,0.005848063409957861,0.00014681400144146272,0.380860811
153,DSPC,0.33858330127573866,0.6026127457410531,0.006013928244820047,0.00022513195663590065,0.377670994
147,DSPC,0.3421983649628524,0.7461234935811143,0.006013928244820047,0.00022513195663590065,0.030920103
149,DSPC,0.1730237459970199,0.7969025672552619,0.0053981705713100235,0.00030638384375338175,-0.015214005
152,DSPC,0.07749942009459165,0.7308223251682948,0.0061178395287374504,0.00015584190554412264,-0.059724469
