Iter,Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),MAL_(PEG+MAL),IL%,HL%,Chol%,PEG%,MAL%,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,RLU_T,LnRLU_T
2,54,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.44155018630224,55.8132965609037,36.6625362628188,5.37758674176768,10.20689026436469,35.35072646978779,20.46257009111591,41.81052513333125,2.133644393609968,0.2425339121550783,16.32465055890672,9.449432575596193,19.30772803408577,0.9852979732232993,0.112,2.958056830076747,3.21711708871312
2,55,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.70962562142161,29.2984707866698,29.1933548958775,7.84811757417274,1.810456696032531,20.74526423085229,8.553206555817507,65.15279007392996,5.448281620105592,0.1004575192946495,23.12887686426483,9.535962474265308,72.63878841042424,6.074284391415654,0.112,0.2034657580648229,0.4625260167011953
2,56,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.08597574966549,56.9587656276546,65.3923699122761,6.15047823981825,3.923159191966848,19.71207891095234,37.24668671670226,40.39399261812513,2.543386246006,0.1038555082142773,21.25792724899647,40.16762311406386,43.5617450727382,2.742842093314331,0.112,2.549155166837117,2.80821542547349
2,57,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.16481032441928,85.7466422375011,25.6905473042639,8.67308075063356,31.21387292586041,63.71786055165796,22.02878168584315,13.01715253408067,0.8503376993169183,0.3858675291013073,18.49443097325784,6.393965189454117,3.778294294968431,0.2468148137401079,0.112,1.624811884693854,1.883872143330227
2,58,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.99184846029477,46.0491705954478,25.5699204723546,9.0682604553173,5.239424175476141,34.2744342960129,11.7747362994349,49.0584276763435,4.636068049299526,0.2563336789091794,14.97554538088431,5.144741304180934,21.43512285678707,2.025639485732644,0.112,2.390931161622223,2.649991420258596
2,59,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.77144651752391,88.4566259331111,21.6846807394932,6.3782213638251,40.04702726834854,69.27508900658822,19.18153692652289,10.80711211604834,0.4414109266209622,0.2948510242195915,26.31433955257173,7.286161346926795,4.105112268818054,0.1676711956907723,0.112,2.805534993280432,3.064595251916804
2,60,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.7676247190121,60.536775832555,52.5069997155816,8.04028694620503,5.865223334573653,28.75073111833307,31.78604471422193,36.29026770615828,2.986855478523458,0.1861009827632505,17.3028741570363,19.12959810922535,21.8403466910243,1.797560704019489,0.112,2.277415071368623,2.536475330004995
2,61,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.58742097046543,70.6555999741235,65.4460983471693,2.34934483647186,20.07026144393208,24.41426652727611,46.24133344684739,28.65499887907492,0.5510365342410342,0.1383646125605424,19.76226291139629,37.43030280795811,23.19494714049167,0.4460395667135736,0.112,1.415936420546339,1.674996679182712
2,62,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.37001153984537,79.5558037676332,38.7079556363282,5.3314533838842,22.66151382633051,48.76137853913342,30.79442522849978,19.35422344052836,0.842968456912736,0.2470043349257101,22.11003461953611,13.96321901244892,8.775850132310971,0.3822300009537171,0.112,2.84749220444646,3.106552463082832
2,63,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.67107681872558,37.2395492979285,25.9869014163937,6.77457337961023,2.502458780324849,27.56214433396649,9.677404963962012,58.50869791588556,4.145354425270321,0.1063983609156164,29.01323045617674,10.18689899577826,61.58905184428816,4.363598194886593,0.112,4.181789323894265,4.440849582530638
